Player,Serve Rating,% 1st Serve,% 1st Serve Points Won,% 2nd Serve Points Won,% Service Games Won,Aces Per Match,Avg Double Faults/Match,Surface
Tommy Paul,261.7,61.20%,69.00%,52.00%,77.00%,4.8,2.3,All
Jiri Novak,261.7,65.10%,68.40%,49.90%,76.50%,4,2.2,All
Brett Steven,261.7,65.10%,68.60%,50.20%,77.30%,3.6,3.1,All
Fernon Wibier,261.7,66.30%,70.50%,46.60%,77.40%,6.2,5.3,All
David Ferrer,261.6,63.00%,68.60%,52.40%,77.50%,2.7,2.6,All
Julien Benneteau,261.5,64.30%,69.40%,48.80%,76.40%,5.9,3.3,All
Santiago Giraldo,261.5,63.60%,68.20%,50.80%,76.70%,3.7,1.5,All
Filip Krajinovic,261.5,63.90%,68.40%,50.50%,75.80%,4.8,1.9,All
Kristian Pless,261.4,60.90%,70.00%,50.80%,77.10%,6.2,3.6,All
Cedric Pioline,261.3,57.20%,73.50%,49.40%,79.10%,5.8,3.7,All
Cameron Norrie,261.3,64.90%,69.10%,49.00%,77.10%,4.8,3.6,All
Alex Bogdanovic,261.2,64.40%,70.00%,48.20%,76.20%,5.6,3.2,All
Mischa Zverev,261.2,64.50%,69.20%,48.80%,75.90%,5,2.2,All
Michael Chang,261.1,55.80%,71.50%,52.50%,78.90%,4.3,1.9,All
Hyeon Chung,261,62.30%,70.30%,50.40%,77.20%,3.6,2.8,All
Mackenzie McDonald,261,63.60%,68.60%,50.50%,76.20%,5,2.9,All
Emilio Sanchez,261,64.70%,67.80%,50.60%,75.70%,3.5,1.3,All
Daniele Bracciali,260.9,52.90%,74.10%,50.50%,78.90%,7.5,3,All
Marc Gicquel,260.8,57.00%,72.40%,49.80%,77.90%,6,2.3,All
Magnus Norman,260.8,57.80%,71.80%,50.00%,77.50%,6.3,2.6,All
Daniel Evans,260.7,60.60%,70.50%,50.70%,77.40%,4.7,3.2,All
Bradley Klahn,260.6,61.10%,70.40%,49.50%,76.10%,8.1,4.6,All
Soonwoo Kwon,260.5,61.70%,69.20%,51.30%,77.10%,4.6,3.4,All
Jarkko Nieminen,260.5,65.40%,67.60%,50.30%,76.20%,3.1,2.1,All
Daniel Vacek,260.5,57.80%,74.00%,48.50%,78.30%,6.9,5,All
Alex O'Brien,260.3,63.40%,69.20%,49.80%,75.90%,4.6,2.6,All
Jerome Golmard,260.2,59.00%,71.00%,50.40%,78.10%,5.5,3.8,All
Lukas Lacko,260.2,58.70%,71.20%,50.10%,76.40%,6.4,2.6,All
Konstantin Kravchuk,260.2,62.00%,71.90%,46.60%,75.10%,7.5,2.9,All
Mikhail Youzhny,260.2,60.70%,69.40%,51.30%,77.40%,4,2.6,All
Nicolas Escude,260.1,56.30%,72.70%,50.20%,77.80%,6.6,3.5,All
Juan Monaco,260.1,67.80%,65.20%,52.60%,74.20%,2.2,1.9,All
James Ward,260.1,60.40%,70.60%,48.90%,76.40%,7.1,3.3,All
Yevgeny Kafelnikov,260,55.60%,73.30%,50.60%,79.00%,5.6,4.1,All
Hyung-Taik Lee,260,63.10%,67.90%,52.00%,75.70%,3.4,2.1,All
Jeff Salzenstein,260,61.00%,73.20%,45.30%,76.50%,8.3,4.3,All
Michael Tebbutt,260,52.80%,78.00%,45.80%,78.80%,11.1,6.5,All
Darren Cahill,259.9,59.80%,71.00%,49.50%,78.80%,3.7,2.9,All
Chris Woodruff,259.9,60.30%,71.80%,48.20%,77.90%,6,4.3,All
Grant Connell,259.8,58.40%,71.50%,49.30%,78.60%,5.2,3.2,All
David Goffin,259.7,58.30%,71.50%,50.50%,77.50%,5.4,3.5,All
Marcos Giron,259.7,61.20%,69.60%,49.40%,76.60%,5.2,2.3,All
Andrei Olhovskiy,259.6,56.30%,74.70%,47.60%,77.70%,7.6,4.3,All
Glenn Weiner,259.3,57.30%,74.40%,47.20%,76.90%,8.5,5,All
Mirza Basic,259.2,58.40%,69.40%,51.40%,76.60%,5.4,2,All
Prakash Amritraj,259.2,59.80%,69.60%,51.70%,76.40%,4.2,2.5,All
Thomaz Bellucci,259.1,58.10%,70.40%,51.10%,76.70%,6,3.2,All
Jeff Morrison,259.1,57.70%,72.70%,47.60%,77.20%,7.9,4,All
Florian Mayer,259.1,61.80%,69.00%,50.10%,75.80%,4.2,1.8,All
Chris Pridham,259.1,58.80%,69.80%,51.20%,79.20%,3.3,3.2,All
Paul Haarhuis,259,60.00%,69.70%,50.40%,76.70%,4.5,2.3,All
Jan Apell,258.9,61.60%,69.80%,49.30%,76.30%,4.7,2.8,All
Marco Cecchinato,258.9,66.00%,68.00%,48.30%,74.70%,4.5,2.6,All
Guillermo Canas,258.8,57.80%,71.10%,51.00%,76.90%,4.9,2.9,All
Albert Ramos-Vinolas,258.7,61.90%,67.80%,51.60%,76.40%,3.5,2.5,All
Federico Delbonis,258.6,60.60%,69.40%,51.30%,77.00%,3.7,3.4,All
Marsel Ilhan,258.6,61.80%,69.40%,48.40%,74.90%,6.1,2,All
Peter Gojowczyk,258.5,54.80%,74.40%,48.20%,77.70%,7.1,3.7,All
Amos Mansdorf,258.5,57.50%,69.80%,52.00%,77.70%,3.8,2.3,All
Peter Luczak,258.5,62.30%,68.30%,49.80%,75.50%,5.3,2.7,All
David Nalbandian,258.5,59.10%,69.40%,52.30%,77.30%,3.7,3.3,All
Cristian Garin,258.4,61.20%,70.20%,49.40%,76.20%,4.6,3.2,All
Paul-Henri Mathieu,258.4,55.00%,71.80%,51.60%,78.20%,4.9,3.1,All
Noam Okun,258.4,61.00%,68.60%,51.00%,75.80%,5.3,3.3,All
Stephane Simian,258.4,62.60%,71.10%,47.00%,77.00%,5,4.3,All
Julien Boutter,258.3,55.40%,73.70%,48.60%,77.70%,9.7,6.8,All
Yen-Hsun Lu,258.3,60.60%,70.40%,50.30%,76.10%,4.3,3.4,All
Kristof Vliegen,258.3,61.30%,69.20%,49.80%,74.50%,5.7,2.2,All
Andreas Beck,258.2,59.20%,69.30%,52.00%,77.50%,4.5,4.3,All
Alex Calatrava,258.2,59.00%,70.90%,48.70%,75.50%,6.2,2.1,All
Magnus Gustafsson,258.2,65.10%,68.10%,49.50%,76.20%,2.8,3.5,All
Derrick Rostagno,258.2,61.20%,70.80%,47.50%,76.60%,5.6,3.5,All
Joao Souza,258.2,62.60%,69.80%,48.60%,74.20%,5.3,2.3,All
Stefano Travaglia,258.2,54.40%,73.80%,48.40%,77.10%,8.3,3.8,All
Matthias Bachinger,258,59.30%,71.70%,47.00%,75.90%,6.9,2.8,All
Lars Rehmann,258,63.70%,72.10%,43.80%,77.20%,5.1,3.9,All
Grega Zemlja,258,58.90%,70.90%,48.40%,75.50%,7.4,3.1,All
Marco Chiudinelli,257.9,59.80%,69.90%,50.20%,76.70%,4.2,2.9,All
Evgeny Donskoy,257.9,58.50%,69.90%,50.30%,76.60%,4.9,2.3,All
Steve Darcis,257.9,60.70%,69.20%,50.40%,75.70%,4,2.1,All
Nicolas Kiefer,257.9,52.70%,74.80%,49.40%,78.00%,6.8,3.8,All
Adrian Mannarino,257.9,60.40%,69.30%,50.50%,75.70%,4.6,2.6,All
Sjeng Schalken,257.9,62.40%,69.00%,49.80%,76.40%,3.8,3.5,All
Bobby Reynolds,257.8,58.80%,70.30%,48.70%,74.80%,8.8,3.6,All
Victor Estrella Burgos,257.6,64.80%,67.10%,50.20%,74.40%,3.6,2.5,All
Laslo Djere,257.6,60.50%,69.40%,50.20%,76.00%,4.8,3.3,All
Jason Stoltenberg,257.6,57.00%,73.00%,48.50%,77.20%,5.5,3.6,All
Guillaume Raoux,257.5,53.30%,72.70%,51.50%,78.10%,4.9,3,All
Alexander Mronz,257.3,54.90%,73.90%,48.90%,76.90%,6,3.3,All
Andrey Kuznetsov,257.3,57.90%,71.20%,49.70%,76.20%,5.2,2.9,All
Kevin Curren,257.2,49.80%,76.00%,49.60%,77.90%,7.6,3.7,All
Jose Acasuso,257.2,54.20%,72.30%,50.60%,77.50%,5.3,2.7,All
German Lopez,257.2,52.40%,73.90%,49.00%,77.40%,6.9,2.4,All
Jurgen Zopp,257.2,60.00%,69.80%,48.80%,76.50%,4.9,2.8,All
Luiz Mattar,257.1,57.80%,69.30%,51.00%,75.70%,5.4,2.1,All
Michal Przysiezny,257.1,58.30%,71.40%,48.00%,75.60%,7.4,3.6,All
Andreas Seppi,257,58.20%,70.50%,50.10%,76.10%,4.9,2.8,All
Sergi Bruguera,256.9,59.00%,69.60%,50.60%,75.80%,3.8,1.9,All
Eduardo Schwank,256.9,62.60%,67.40%,51.30%,74.80%,3.9,3.1,All
Alex Corretja,256.8,57.40%,69.50%,51.90%,76.50%,3.8,2.3,All
Fredrik Jonsson,256.8,59.00%,69.30%,48.80%,75.90%,5.7,1.9,All
