Player,Under Pressure Rating,% Break Points Converted,% Break Points Saved,% Tie Breaks Won,% Deciding Sets Won,Surface
Leonardo Lavalle,191.2,35.90%,55.30%,40.00%,60.00%,All
Juan Ignacio Londero,191.1,39.10%,59.90%,48.10%,44.00%,All
Stefano Pescosolido,191.1,39.50%,56.10%,48.50%,47.00%,All
Alessandro Giannessi,191,37.20%,63.00%,37.50%,53.30%,All
Pere Riba,191,39.90%,54.90%,41.20%,55.00%,All
Carl-Uwe Steeb,191,42.20%,57.70%,44.70%,46.40%,All
Ramkumar Ramanathan,191,30.20%,57.90%,60.00%,42.90%,All
Kevin Ullyett,191,42.80%,59.30%,50.00%,38.90%,All
Guido Andreozzi,190.9,38.40%,61.30%,41.20%,50.00%,All
Lorenzo Sonego,190.9,34.30%,62.20%,50.00%,44.40%,All
Wayne Black,190.8,41.80%,56.80%,55.80%,36.40%,All
Andreas Beck,190.8,35.70%,61.30%,50.90%,42.90%,All
Casper Ruud,190.7,39.80%,63.10%,30.20%,57.60%,All
Simone Bolelli,190.6,36.90%,60.50%,51.40%,41.80%,All
Jean-Rene Lisnard,190.6,39.70%,55.40%,42.40%,53.10%,All
Alex O'Brien,190.6,38.80%,60.10%,56.30%,35.40%,All
Wesley Moodie,190.5,33.00%,63.20%,45.60%,48.70%,All
Oliver Marach,190.5,39.20%,59.40%,62.50%,29.40%,All
Wayne Arthurs,190.3,30.00%,67.40%,44.50%,48.40%,All
Marinko Matosevic,190.3,39.20%,58.50%,50.00%,42.60%,All
Claudio Mezzadri,190.3,40.20%,57.90%,52.20%,40.00%,All
Marian Vajda,190.3,43.00%,52.60%,53.80%,40.90%,All
